User,Search Term,Tweet Text,Created on,Compound,Positive,Negative,Neutral,Timestamps
OjukwuStanley12,@BBC,"RT @IpobosisiomaLga: Stop dreaming!, #IPOB will never relent,all of you Yoruba media on Twitter and Facebook bearing Igbo Names,
how do you…",2020-05-22 09:14:42,-0.3595,0.0,0.106,0.894,1590138882
MartineGee1,@BBC,"@HollyAnnPerks1 @StarbucksUK @BBC So, in short, you don’t have the information and can’t answer the question. Embarrassing!",2020-05-22 09:14:21,-0.4389,0.0,0.153,0.847,1590138861
ed19mitch,@BBC,@YardleyShooting @BBC Forensic questions but no forensic answers.,2020-05-22 09:14:19,-0.4215,0.0,0.286,0.714,1590138859
eyehandman,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:13:57,0.5994,0.17,0.0,0.83,1590138837
jameseonline,@BBC,"RT @BBC: ‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.

#MentalHealth @BBC_Teac…",2020-05-22 09:13:54,0.1779,0.177,0.152,0.671,1590138834
IsmaAhmad77,@BBC,"RT @BBC: .@MicahRichards talks about why speaking about your feelings is a strength, not a weakness. 

@OpenUniversity #MentalHealth https:…",2020-05-22 09:13:53,0.6738,0.246,0.0,0.754,1590138833
franciskafriede,@BBC,"RT @Stevieleedsy: Crazy .... 45,000 views in 4 days #ITSeries
 
So happy for everyone involved 😘

Just the beginning

Imagine if we had  ba…",2020-05-22 09:13:33,0.7304,0.222,0.071,0.707,1590138813
DippyTango,@BBC,Fishing communities suffer as industrial fleets plunder the seas @AJEnglish  https://t.co/scydlRGRmH  DId @BBC @BBCNews mention the EU industrial fleets stripping British waters during lockdown??  Or did they cover up EU transgressions once again.  Proper reporting please.,2020-05-22 09:13:28,-0.3736,0.057,0.096,0.847,1590138808
Shantan84286034,@BBC,@BBCsarika @BBC Pls go to Bangladesh,2020-05-22 09:13:18,0.0772,0.206,0.0,0.794,1590138798
MaggieT_1979,@BBC,"It's this the @BBC defending China? The source of the disease that is bankrupting the planet into socialism? 🤔🤔🤔 Of course it bloody is....because @BBCNews, just like all the rest of the 🇬🇧 #MSM shitshower, are a fucking disgrace. https://t.co/iTbpGLhqMb https://t.co/ndDqLpryqz",2020-05-22 09:13:15,-0.6432,0.048,0.129,0.823,1590138795
gman5260,@BBC,@YardleyShooting @BBC You could say it helps his cause but realistically people see for them self the reality day to day and most in my experience don't watch BBC at all or take seriously anything media say.,2020-05-22 09:12:58,-0.0644,0.046,0.053,0.901,1590138778
comingupfortea,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:12:54,0.5994,0.17,0.0,0.83,1590138774
nellcurran,@BBC,@stephangell65 @BBC @SkyNews @GMB Damn right !,2020-05-22 09:12:38,-0.4574,0.0,0.333,0.667,1590138758
ogili_harrison,@BBC,RT @IpobosisiomaLga: These are the official #FulaniSlaves imposed on Biafrans by the #Calliphate to oversea over the destruction of their o…,2020-05-22 09:12:09,-0.6124,0.0,0.208,0.792,1590138729
AUgwueme1,@BBC,"RT @IpobosisiomaLga: Stop dreaming!, #IPOB will never relent,all of you Yoruba media on Twitter and Facebook bearing Igbo Names,
how do you…",2020-05-22 09:12:05,-0.3595,0.0,0.106,0.894,1590138725
njmike731,@BBC,RT @BBC: Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,2020-05-22 09:12:00,0.0,0.0,0.0,1.0,1590138720
HollyAnnPerks1,@BBC,@MartineGee1 @StarbucksUK @BBC 2 + 2 = 4,2020-05-22 09:11:54,0.0,0.0,0.0,1.0,1590138714
BirdyBrexit,@BBC,RT @stephangell65: Some parents are concerned about sending kids back to school. Some teachers are concerned about returning. Did @bbc @Sky…,2020-05-22 09:11:46,0.0,0.0,0.0,1.0,1590138706
N1bblr,@BBC,"RT @davidro51445822: @corporal_frank @BBC Been watching QT for 40 yrs, Thu evening used to be the best, QT + TW, now TW gone + QT a shamble…",2020-05-22 09:11:29,0.9413,0.392,0.0,0.608,1590138689
RedwoodOrginal1,@BBC,"@Activision @CallofDuty @CallofDutyUK @InfinityWard
@bbc @abcnews @CNN @ABC
@NBCNews @pbs @Twitch

#PlayApartTogether

We are #Live at 10 BST 
#HelpYourHometown
#mentalhealth

#StayAtHomeAndStaySafe

#Chat 
#Smile

@SmallStreamersC
@SmallStreamersR

https://t.co/RO9Ema0HX4 https://t.co/7iOp9RUjFM",2020-05-22 09:11:23,0.3612,0.088,0.0,0.912,1590138683
FayyazCanada,@BBC,@Marriyum_A @SKhaqanAbbasi @khawajakashif76 @ShakilRai2 @betterpakistan @blackrakh @rajawaseem1511 @sorrlly @SherniPmln @kaikausMir @najamsethi @HamidMirPAK @_Mansoor_Ali @ZABUKHARI1 @chandsitara12 @BBC @WorldBank @ADB_HQ @SanaBajwa11 @Bajwas24 @HummaSaif @immorternal1,2020-05-22 09:10:59,0.0,0.0,0.0,1.0,1590138659
jackexists,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:10:52,0.5994,0.17,0.0,0.83,1590138652
AbvpUpendra,@BBC,"@schintu530 @BBCsarika @BBC Boss, Truth and unbiased is another name of @BBCsarika  it's her duty. If you want show everything is + in India . Pls look ABP News , Aaj Tak and other modi subsidized Media.",2020-05-22 09:10:41,0.4215,0.126,0.028,0.846,1590138641
LittlleFairy,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:10:05,0.5994,0.17,0.0,0.83,1590138605
imnickyip,@BBC,@GlassAnimals @BBC @jbirchphoto you look perfect in those overalls,2020-05-22 09:09:51,0.5719,0.316,0.0,0.684,1590138591
acaciascps,@BBC,"RT @BBC: ‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.

#MentalHealth @BBC_Teac…",2020-05-22 09:09:35,0.1779,0.177,0.152,0.671,1590138575
MaduabuchiOnye6,@BBC,"RT @IpobosisiomaLga: Aisha Buhari is living with a little
Small boy in Aso-rock claiming that he is Buhari but he can not speak~~mazinnamdi…",2020-05-22 09:09:31,0.0,0.0,0.0,1.0,1590138571
BorahMena,@BBC,@Sindhanilkanth1 @BarackObama @narendramodi @HillaryClinton @Iran @HassanRouhani @theresa_may @JPN_PMO @PureNewZealand @TurnbullMalcolm @JuliaGillard @realDonaldTrump @ChinaDaily @ImranKhanPTI @BBC @RahulGandhi @priyankagandhi @ShashiTharoor @Pawankhera @RiaRevealed @SATAVRAJEEV @shaktisinhgohil @INCIndia 😁,2020-05-22 09:09:26,0.4588,0.1,0.0,0.9,1590138566
pugsween,@BBC,"RT @BBC_Teach: Thank you @BBC for sharing our video. 💚

#MentalHealthAwarenessWeek",2020-05-22 09:09:23,0.6486,0.346,0.0,0.654,1590138563
